source_layer,source_pos,source_feature,source_type,target_layer,target_pos,target_feature,target_type,original_activation,modified_activation,activation_change,steering_scale,reduction_ratio,target_node_str,steering_nodes_count
0,5,10273,lorsa,0,5,13486,transcoder,1.9582043886184692,0.6591346859931946,-1.2990697026252747,0.0,-0.6633984226446249,"Node(id=1_13486_5, type=transcoder, layer=0, feature=13486, pos=5)",1
0,14,7465,lorsa,0,14,12663,transcoder,1.357285976409912,0.38840216398239136,-0.9688838124275208,0.0,-0.7138391092717733,"Node(id=1_12663_14, type=transcoder, layer=0, feature=12663, pos=14)",1
0,14,7465,lorsa,11,54,11603,transcoder,0.590173602104187,0.4549623131752014,-0.1352112889289856,0.0,-0.2291042643163086,"Node(id=23_11603_54, type=transcoder, layer=11, feature=11603, pos=54)",1
0,14,7465,lorsa,13,37,9843,lorsa,3.7563188076019287,1.2359832525253296,-2.520335555076599,0.0,-0.6709589052920688,"Node(id=26_9843_37, type=lorsa, layer=13, feature=9843, pos=37)",1
0,14,7465,lorsa,13,14,12341,transcoder,0.8768914937973022,0.0,-0.8768914937973022,0.0,-1.0,"Node(id=27_12341_14, type=transcoder, layer=13, feature=12341, pos=14)",1
0,14,7465,lorsa,14,54,4515,lorsa,2.634603977203369,0.0,-2.634603977203369,0.0,-1.0,"Node(id=28_4515_54, type=lorsa, layer=14, feature=4515, pos=54)",1
0,14,7465,lorsa,14,55,9044,lorsa,3.8024330139160156,1.0711872577667236,-2.731245756149292,0.0,-0.7182889865918929,"Node(id=28_9044_55, type=lorsa, layer=14, feature=9044, pos=55)",1
0,14,7465,lorsa,14,54,138,transcoder,5.203862190246582,3.2293522357940674,-1.9745099544525146,0.0,-0.3794316379386968,"Node(id=29_138_54, type=transcoder, layer=14, feature=138, pos=54)",1
0,14,7465,lorsa,14,54,5701,transcoder,1.1805400848388672,0.0,-1.1805400848388672,0.0,-1.0,"Node(id=29_5701_54, type=transcoder, layer=14, feature=5701, pos=54)",1
0,14,7465,lorsa,14,55,8439,transcoder,1.9621776342391968,0.8190421462059021,-1.1431354880332947,0.0,-0.5825851177212746,"Node(id=29_8439_55, type=transcoder, layer=14, feature=8439, pos=55)",1
