source_layer,source_pos,source_feature,source_type,target_layer,target_pos,target_feature,target_type,original_activation,modified_activation,activation_change,steering_scale,reduction_ratio,target_node_str,steering_nodes_count
0,54,5593,transcoder,6,51,2057,transcoder,2.2570786476135254,1.9543291330337524,-0.30274951457977295,0.0,-0.1341333475020371,"Node(id=13_2057_51, type=transcoder, layer=6, feature=2057, pos=51)",1
0,54,5593,transcoder,3,51,5284,transcoder,0.8926391005516052,0.7636255621910095,-0.1290135383605957,0.0,-0.1445304583687539,"Node(id=7_5284_51, type=transcoder, layer=3, feature=5284, pos=51)",1
0,54,5593,transcoder,1,54,9400,transcoder,0.9067674875259399,0.0,-0.9067674875259399,0.0,-1.0,"Node(id=3_9400_54, type=transcoder, layer=1, feature=9400, pos=54)",1
0,54,5593,transcoder,11,51,9680,transcoder,1.042241096496582,0.660822868347168,-0.38141822814941406,0.0,-0.3659596895876816,"Node(id=23_9680_51, type=transcoder, layer=11, feature=9680, pos=51)",1
0,54,5593,transcoder,10,51,12950,transcoder,0.8460464477539062,0.48840582370758057,-0.3576406240463257,0.0,-0.4227198459325656,"Node(id=21_12950_51, type=transcoder, layer=10, feature=12950, pos=51)",1
0,54,5593,transcoder,2,54,12759,transcoder,0.6271476745605469,0.1696503609418869,-0.45749731361866,0.0,-0.7294889739314367,"Node(id=5_12759_54, type=transcoder, layer=2, feature=12759, pos=54)",1
0,54,5593,transcoder,4,55,9090,lorsa,4.7906646728515625,2.922805070877075,-1.8678596019744873,0.0,-0.3898957095785782,"Node(id=8_9090_55, type=lorsa, layer=4, feature=9090, pos=55)",1
0,54,5593,transcoder,9,54,12243,lorsa,2.3094804286956787,0.717268168926239,-1.5922122597694397,0.0,-0.6894244436912897,"Node(id=18_12243_54, type=lorsa, layer=9, feature=12243, pos=54)",1
0,54,5593,transcoder,14,55,9044,lorsa,3.8024330139160156,2.2798585891723633,-1.5225744247436523,0.0,-0.40042110384887414,"Node(id=28_9044_55, type=lorsa, layer=14, feature=9044, pos=55)",1
0,54,5593,transcoder,11,54,10708,transcoder,0.9755883812904358,0.0,-0.9755883812904358,0.0,-1.0,"Node(id=23_10708_54, type=transcoder, layer=11, feature=10708, pos=54)",1
