source_layer,source_pos,source_feature,source_type,target_layer,target_pos,target_feature,target_type,original_activation,modified_activation,activation_change,steering_scale,reduction_ratio,target_node_str,steering_nodes_count
0,5,10273,lorsa,0,5,13486,transcoder,1.9582043886184692,0.6591346859931946,-1.2990697026252747,0.0,-0.6633984226446249,"Node(id=1_13486_5, type=transcoder, layer=0, feature=13486, pos=5)",1
0,5,10273,lorsa,13,51,3932,transcoder,0.40207821130752563,0.31621894240379333,-0.0858592689037323,0.0,-0.21353872577309013,"Node(id=27_3932_51, type=transcoder, layer=13, feature=3932, pos=51)",1
0,9,7465,lorsa,0,9,12663,transcoder,1.3848077058792114,0.3466142416000366,-1.0381934642791748,0.0,-0.749702258206332,"Node(id=1_12663_9, type=transcoder, layer=0, feature=12663, pos=9)",1
0,9,7465,lorsa,13,51,3932,transcoder,0.40207821130752563,0.0,-0.40207821130752563,0.0,-1.0,"Node(id=27_3932_51, type=transcoder, layer=13, feature=3932, pos=51)",1
0,9,7465,lorsa,13,55,14142,transcoder,0.6139975786209106,0.4882093369960785,-0.12578824162483215,0.0,-0.20486765095615353,"Node(id=27_14142_55, type=transcoder, layer=13, feature=14142, pos=55)",1
0,9,7465,lorsa,14,55,9044,lorsa,3.8024330139160156,2.032245635986328,-1.7701873779296875,0.0,-0.4655407133935603,"Node(id=28_9044_55, type=lorsa, layer=14, feature=9044, pos=55)",1
0,9,7465,lorsa,14,51,11169,transcoder,0.6642193794250488,0.4628710448741913,-0.20134833455085754,0.0,-0.30313529051974597,"Node(id=29_11169_51, type=transcoder, layer=14, feature=11169, pos=51)",1
0,9,7465,lorsa,14,55,8439,transcoder,1.9621776342391968,1.2716625928878784,-0.6905150413513184,0.0,-0.3519126042933695,"Node(id=29_8439_55, type=transcoder, layer=14, feature=8439, pos=55)",1
0,10,7465,lorsa,0,10,12663,transcoder,1.3235399723052979,0.34128284454345703,-0.9822571277618408,0.0,-0.7421439082425128,"Node(id=1_12663_10, type=transcoder, layer=0, feature=12663, pos=10)",1
0,10,7465,lorsa,13,51,3932,transcoder,0.40207821130752563,0.0,-0.40207821130752563,0.0,-1.0,"Node(id=27_3932_51, type=transcoder, layer=13, feature=3932, pos=51)",1
0,10,7465,lorsa,13,55,14142,transcoder,0.6139975786209106,0.4587971866130829,-0.15520039200782776,0.0,-0.252770364919713,"Node(id=27_14142_55, type=transcoder, layer=13, feature=14142, pos=55)",1
0,10,7465,lorsa,14,55,9044,lorsa,3.8024330139160156,1.6936302185058594,-2.1088027954101562,0.0,-0.5545930165482025,"Node(id=28_9044_55, type=lorsa, layer=14, feature=9044, pos=55)",1
0,10,7465,lorsa,14,51,11169,transcoder,0.6642193794250488,0.46472448110580444,-0.19949489831924438,0.0,-0.30034489281527443,"Node(id=29_11169_51, type=transcoder, layer=14, feature=11169, pos=51)",1
0,10,7465,lorsa,14,55,8439,transcoder,1.9621776342391968,1.0252666473388672,-0.9369109869003296,0.0,-0.47748530538296646,"Node(id=29_8439_55, type=transcoder, layer=14, feature=8439, pos=55)",1
0,14,7465,lorsa,0,14,12663,transcoder,1.357285976409912,0.38840216398239136,-0.9688838124275208,0.0,-0.7138391092717733,"Node(id=1_12663_14, type=transcoder, layer=0, feature=12663, pos=14)",1
0,14,7465,lorsa,3,6,1991,transcoder,2.446690320968628,1.907048225402832,-0.5396420955657959,0.0,-0.22056003203223337,"Node(id=7_1991_6, type=transcoder, layer=3, feature=1991, pos=6)",1
0,14,7465,lorsa,8,14,912,transcoder,0.7022373080253601,0.5594098567962646,-0.14282745122909546,0.0,-0.20338915292141882,"Node(id=17_912_14, type=transcoder, layer=8, feature=912, pos=14)",1
0,14,7465,lorsa,9,14,13080,lorsa,4.417771816253662,3.4635496139526367,-0.9542222023010254,0.0,-0.21599626281970813,"Node(id=18_13080_14, type=lorsa, layer=9, feature=13080, pos=14)",1
0,14,7465,lorsa,11,51,9849,transcoder,0.687792956829071,0.448079913854599,-0.23971304297447205,0.0,-0.34852500391923186,"Node(id=23_9849_51, type=transcoder, layer=11, feature=9849, pos=51)",1
0,14,7465,lorsa,12,54,9881,lorsa,2.963268280029297,2.2488083839416504,-0.7144598960876465,0.0,-0.2411053703448622,"Node(id=24_9881_54, type=lorsa, layer=12, feature=9881, pos=54)",1
0,14,7465,lorsa,13,51,5681,lorsa,1.9713155031204224,1.0768382549285889,-0.8944772481918335,0.0,-0.45374636722328476,"Node(id=26_5681_51, type=lorsa, layer=13, feature=5681, pos=51)",1
0,14,7465,lorsa,13,14,12356,transcoder,2.3949244022369385,1.4128594398498535,-0.982064962387085,0.0,-0.4100609444998781,"Node(id=27_12356_14, type=transcoder, layer=13, feature=12356, pos=14)",1
0,14,7465,lorsa,13,14,14792,transcoder,0.9941571950912476,0.0,-0.9941571950912476,0.0,-1.0,"Node(id=27_14792_14, type=transcoder, layer=13, feature=14792, pos=14)",1
0,14,7465,lorsa,13,51,3932,transcoder,0.40207821130752563,0.0,-0.40207821130752563,0.0,-1.0,"Node(id=27_3932_51, type=transcoder, layer=13, feature=3932, pos=51)",1
0,14,7465,lorsa,13,56,2268,transcoder,0.6461610198020935,0.5073613524436951,-0.13879966735839844,0.0,-0.21480662420786395,"Node(id=27_2268_56, type=transcoder, layer=13, feature=2268, pos=56)",1
0,14,7465,lorsa,14,51,7349,lorsa,2.629939079284668,1.544333815574646,-1.085605263710022,0.0,-0.41278722851835103,"Node(id=28_7349_51, type=lorsa, layer=14, feature=7349, pos=51)",1
0,14,7465,lorsa,14,55,9044,lorsa,3.8024330139160156,1.0711872577667236,-2.731245756149292,0.0,-0.7182889865918929,"Node(id=28_9044_55, type=lorsa, layer=14, feature=9044, pos=55)",1
0,14,7465,lorsa,14,51,11169,transcoder,0.6642193794250488,0.0,-0.6642193794250488,0.0,-1.0,"Node(id=29_11169_51, type=transcoder, layer=14, feature=11169, pos=51)",1
0,14,7465,lorsa,14,55,8439,transcoder,1.9621776342391968,0.8190421462059021,-1.1431354880332947,0.0,-0.5825851177212746,"Node(id=29_8439_55, type=transcoder, layer=14, feature=8439, pos=55)",1
0,24,7465,lorsa,0,24,12663,transcoder,1.1877341270446777,0.29125717282295227,-0.8964769542217255,0.0,-0.7547791494821666,"Node(id=1_12663_24, type=transcoder, layer=0, feature=12663, pos=24)",1
0,24,7465,lorsa,13,51,3932,transcoder,0.40207821130752563,0.24719978868961334,-0.1548784226179123,0.0,-0.38519476624774135,"Node(id=27_3932_51, type=transcoder, layer=13, feature=3932, pos=51)",1
0,24,7465,lorsa,14,55,9044,lorsa,3.8024330139160156,2.655644416809082,-1.1467885971069336,0.0,-0.3015933726932087,"Node(id=28_9044_55, type=lorsa, layer=14, feature=9044, pos=55)",1
0,24,7465,lorsa,14,55,8439,transcoder,1.9621776342391968,1.5210349559783936,-0.4411426782608032,0.0,-0.22482300815331088,"Node(id=29_8439_55, type=transcoder, layer=14, feature=8439, pos=55)",1
0,45,7465,lorsa,0,45,12663,transcoder,1.3661699295043945,0.4897906482219696,-0.8763792812824249,0.0,-0.6414862912407603,"Node(id=1_12663_45, type=transcoder, layer=0, feature=12663, pos=45)",1
0,45,7465,lorsa,1,45,417,lorsa,4.593832015991211,2.786386251449585,-1.807445764541626,0.0,-0.39345055680091806,"Node(id=2_417_45, type=lorsa, layer=1, feature=417, pos=45)",1
0,45,7465,lorsa,1,54,11614,lorsa,2.873215436935425,1.6530561447143555,-1.2201592922210693,0.0,-0.4246668302473318,"Node(id=2_11614_54, type=lorsa, layer=1, feature=11614, pos=54)",1
0,45,7465,lorsa,1,54,11175,transcoder,1.3649195432662964,0.8754665851593018,-0.48945295810699463,0.0,-0.358594732210895,"Node(id=3_11175_54, type=transcoder, layer=1, feature=11175, pos=54)",1
0,45,7465,lorsa,2,54,715,transcoder,0.9930531978607178,0.562788188457489,-0.43026500940322876,0.0,-0.43327488429635597,"Node(id=5_715_54, type=transcoder, layer=2, feature=715, pos=54)",1
0,45,7465,lorsa,6,54,11408,transcoder,0.8126611113548279,0.0,-0.8126611113548279,0.0,-1.0,"Node(id=13_11408_54, type=transcoder, layer=6, feature=11408, pos=54)",1
0,45,7465,lorsa,8,14,912,transcoder,0.7022373080253601,0.43160122632980347,-0.27063608169555664,0.0,-0.38539120408820987,"Node(id=17_912_14, type=transcoder, layer=8, feature=912, pos=14)",1
0,45,7465,lorsa,9,14,13080,lorsa,4.417771816253662,2.6481196880340576,-1.7696521282196045,0.0,-0.40057572048171025,"Node(id=18_13080_14, type=lorsa, layer=9, feature=13080, pos=14)",1
0,45,7465,lorsa,9,54,12243,lorsa,2.3094804286956787,1.182252049446106,-1.1272283792495728,0.0,-0.4880874352705364,"Node(id=18_12243_54, type=lorsa, layer=9, feature=12243, pos=54)",1
0,45,7465,lorsa,9,54,13348,transcoder,0.5763208270072937,0.403848260641098,-0.17247256636619568,0.0,-0.299264850902244,"Node(id=19_13348_54, type=transcoder, layer=9, feature=13348, pos=54)",1
0,45,7465,lorsa,10,51,12950,transcoder,0.8460464477539062,0.6124023795127869,-0.23364406824111938,0.0,-0.276159859616928,"Node(id=21_12950_51, type=transcoder, layer=10, feature=12950, pos=51)",1
0,45,7465,lorsa,11,51,9680,transcoder,1.042241096496582,0.581829845905304,-0.4604112505912781,0.0,-0.4417511957059812,"Node(id=23_9680_51, type=transcoder, layer=11, feature=9680, pos=51)",1
0,45,7465,lorsa,11,51,9849,transcoder,0.687792956829071,0.4649392068386078,-0.22285374999046326,0.0,-0.3240128410414159,"Node(id=23_9849_51, type=transcoder, layer=11, feature=9849, pos=51)",1
0,45,7465,lorsa,11,54,10708,transcoder,0.9755883812904358,0.0,-0.9755883812904358,0.0,-1.0,"Node(id=23_10708_54, type=transcoder, layer=11, feature=10708, pos=54)",1
0,45,7465,lorsa,12,54,9881,lorsa,2.963268280029297,0.0,-2.963268280029297,0.0,-1.0,"Node(id=24_9881_54, type=lorsa, layer=12, feature=9881, pos=54)",1
0,45,7465,lorsa,12,51,8628,transcoder,0.8337218761444092,0.5114241242408752,-0.32229775190353394,0.0,-0.3865770601990401,"Node(id=25_8628_51, type=transcoder, layer=12, feature=8628, pos=51)",1
0,45,7465,lorsa,13,51,5681,lorsa,1.9713155031204224,0.0,-1.9713155031204224,0.0,-1.0,"Node(id=26_5681_51, type=lorsa, layer=13, feature=5681, pos=51)",1
0,45,7465,lorsa,13,14,12356,transcoder,2.3949244022369385,0.698778510093689,-1.6961458921432495,0.0,-0.7082252327292641,"Node(id=27_12356_14, type=transcoder, layer=13, feature=12356, pos=14)",1
0,45,7465,lorsa,13,14,14792,transcoder,0.9941571950912476,0.0,-0.9941571950912476,0.0,-1.0,"Node(id=27_14792_14, type=transcoder, layer=13, feature=14792, pos=14)",1
0,45,7465,lorsa,13,51,3932,transcoder,0.40207821130752563,0.0,-0.40207821130752563,0.0,-1.0,"Node(id=27_3932_51, type=transcoder, layer=13, feature=3932, pos=51)",1
0,45,7465,lorsa,13,51,13122,transcoder,0.9594287276268005,0.637477695941925,-0.3219510316848755,0.0,-0.33556534468301674,"Node(id=27_13122_51, type=transcoder, layer=13, feature=13122, pos=51)",1
0,45,7465,lorsa,13,55,9300,transcoder,0.6302089691162109,0.33355870842933655,-0.2966502606868744,0.0,-0.4707172941427495,"Node(id=27_9300_55, type=transcoder, layer=13, feature=9300, pos=55)",1
0,45,7465,lorsa,13,55,14142,transcoder,0.6139975786209106,0.0,-0.6139975786209106,0.0,-1.0,"Node(id=27_14142_55, type=transcoder, layer=13, feature=14142, pos=55)",1
0,45,7465,lorsa,14,51,7349,lorsa,2.629939079284668,0.961818277835846,-1.668120801448822,0.0,-0.6342811567720966,"Node(id=28_7349_51, type=lorsa, layer=14, feature=7349, pos=51)",1
0,45,7465,lorsa,14,55,9044,lorsa,3.8024330139160156,0.0,-3.8024330139160156,0.0,-1.0,"Node(id=28_9044_55, type=lorsa, layer=14, feature=9044, pos=55)",1
0,45,7465,lorsa,14,51,138,transcoder,4.929553031921387,3.204916477203369,-1.7246365547180176,0.0,-0.34985657797981085,"Node(id=29_138_51, type=transcoder, layer=14, feature=138, pos=51)",1
0,45,7465,lorsa,14,51,11103,transcoder,1.2022953033447266,0.4262675642967224,-0.7760277390480042,0.0,-0.6454551863332852,"Node(id=29_11103_51, type=transcoder, layer=14, feature=11103, pos=51)",1
0,45,7465,lorsa,14,51,11169,transcoder,0.6642193794250488,0.0,-0.6642193794250488,0.0,-1.0,"Node(id=29_11169_51, type=transcoder, layer=14, feature=11169, pos=51)",1
0,45,7465,lorsa,14,55,8439,transcoder,1.9621776342391968,0.3534303605556488,-1.608747273683548,0.0,-0.8198785092702956,"Node(id=29_8439_55, type=transcoder, layer=14, feature=8439, pos=55)",1
0,55,1338,lorsa,14,51,11169,transcoder,0.6642193794250488,0.4533262848854065,-0.21089309453964233,0.0,-0.3175051813787672,"Node(id=29_11169_51, type=transcoder, layer=14, feature=11169, pos=51)",1
0,55,1361,lorsa,0,55,15355,transcoder,0.8304827809333801,0.5263638496398926,-0.30411893129348755,0.0,-0.36619534838722134,"Node(id=1_15355_55, type=transcoder, layer=0, feature=15355, pos=55)",1
0,55,1361,lorsa,1,55,4857,transcoder,0.4845144748687744,0.3531295955181122,-0.13138487935066223,0.0,-0.2711681201810254,"Node(id=3_4857_55, type=transcoder, layer=1, feature=4857, pos=55)",1
0,55,1361,lorsa,1,55,10736,transcoder,0.5947915315628052,0.3919532597064972,-0.20283827185630798,0.0,-0.34102414222904903,"Node(id=3_10736_55, type=transcoder, layer=1, feature=10736, pos=55)",1
0,55,1361,lorsa,3,55,15371,transcoder,0.6983613967895508,0.43535473942756653,-0.26300665736198425,0.0,-0.3766053773462518,"Node(id=7_15371_55, type=transcoder, layer=3, feature=15371, pos=55)",1
0,55,1361,lorsa,13,51,3932,transcoder,0.40207821130752563,0.32044994831085205,-0.08162826299667358,0.0,-0.20301588273392163,"Node(id=27_3932_51, type=transcoder, layer=13, feature=3932, pos=51)",1
0,55,1361,lorsa,14,51,11169,transcoder,0.6642193794250488,0.2884887158870697,-0.3757306635379791,0.0,-0.5656725400924213,"Node(id=29_11169_51, type=transcoder, layer=14, feature=11169, pos=51)",1
0,55,9428,lorsa,3,55,15371,transcoder,0.6983613967895508,0.5353993773460388,-0.16296201944351196,0.0,-0.2333491229507637,"Node(id=7_15371_55, type=transcoder, layer=3, feature=15371, pos=55)",1
0,55,9428,lorsa,14,51,11169,transcoder,0.6642193794250488,0.46778228878974915,-0.19643709063529968,0.0,-0.2957412817514245,"Node(id=29_11169_51, type=transcoder, layer=14, feature=11169, pos=51)",1
0,55,12046,lorsa,0,55,11076,transcoder,1.237419605255127,0.9205142855644226,-0.31690531969070435,0.0,-0.2561017445859571,"Node(id=1_11076_55, type=transcoder, layer=0, feature=11076, pos=55)",1
0,55,12046,lorsa,1,55,4857,transcoder,0.4845144748687744,0.3678207993507385,-0.11669367551803589,0.0,-0.2408466239313926,"Node(id=3_4857_55, type=transcoder, layer=1, feature=4857, pos=55)",1
0,55,12046,lorsa,1,55,8511,transcoder,0.6230177879333496,0.32680076360702515,-0.29621702432632446,0.0,-0.4754551636622191,"Node(id=3_8511_55, type=transcoder, layer=1, feature=8511, pos=55)",1
0,55,12046,lorsa,14,51,11169,transcoder,0.6642193794250488,0.4829539656639099,-0.18126541376113892,0.0,-0.2728999173707383,"Node(id=29_11169_51, type=transcoder, layer=14, feature=11169, pos=51)",1
0,56,4757,lorsa,0,56,14339,transcoder,0.9878732562065125,0.3678021728992462,-0.6200710833072662,0.0,-0.6276828321968886,"Node(id=1_14339_56, type=transcoder, layer=0, feature=14339, pos=56)",1
