source_layer,source_pos,source_feature,source_type,target_layer,target_pos,target_feature,target_type,original_activation,modified_activation,activation_change,steering_scale,reduction_ratio,target_node_str,steering_nodes_count
0,2,9344,lorsa,13,52,4500,lorsa,0.7618747353553772,0.0,-0.7618747353553772,0.0,-1.0,"Node(id=26_4500_52, type=lorsa, layer=13, feature=4500, pos=52)",1
0,3,6293,lorsa,0,3,13486,transcoder,2.0739755630493164,1.5922027826309204,-0.481772780418396,0.0,-0.232294337986344,"Node(id=1_13486_3, type=transcoder, layer=0, feature=13486, pos=3)",1
0,3,6293,lorsa,1,3,16161,transcoder,0.3681464195251465,0.3039310574531555,-0.06421536207199097,0.0,-0.17442886489244994,"Node(id=3_16161_3, type=transcoder, layer=1, feature=16161, pos=3)",1
0,3,6293,lorsa,12,36,1109,lorsa,0.8613160252571106,0.0,-0.8613160252571106,0.0,-1.0,"Node(id=24_1109_36, type=lorsa, layer=12, feature=1109, pos=36)",1
0,3,10273,lorsa,0,3,13486,transcoder,2.0739755630493164,0.821141242980957,-1.2528343200683594,0.0,-0.6040738099278022,"Node(id=1_13486_3, type=transcoder, layer=0, feature=13486, pos=3)",1
0,3,10273,lorsa,1,3,853,transcoder,1.2332260608673096,0.5415614247322083,-0.6916646361351013,0.0,-0.5608579465541491,"Node(id=3_853_3, type=transcoder, layer=1, feature=853, pos=3)",1
0,3,10273,lorsa,1,3,16161,transcoder,0.3681464195251465,0.1466943770647049,-0.2214520424604416,0.0,-0.601532517268758,"Node(id=3_16161_3, type=transcoder, layer=1, feature=16161, pos=3)",1
0,3,10273,lorsa,1,27,13544,transcoder,0.31514617800712585,0.2784649431705475,-0.03668123483657837,0.0,-0.11639435092799685,"Node(id=3_13544_27, type=transcoder, layer=1, feature=13544, pos=27)",1
0,3,10273,lorsa,2,36,7106,lorsa,0.9851575493812561,0.0,-0.9851575493812561,0.0,-1.0,"Node(id=4_7106_36, type=lorsa, layer=2, feature=7106, pos=36)",1
0,3,10273,lorsa,2,43,15722,lorsa,0.4196435511112213,0.0,-0.4196435511112213,0.0,-1.0,"Node(id=4_15722_43, type=lorsa, layer=2, feature=15722, pos=43)",1
0,3,10273,lorsa,2,3,1,transcoder,0.9149532318115234,0.5819225907325745,-0.333030641078949,0.0,-0.36398651810823035,"Node(id=5_1_3, type=transcoder, layer=2, feature=1, pos=3)",1
0,3,10273,lorsa,2,3,8233,transcoder,0.6129541397094727,0.4072735011577606,-0.20568063855171204,0.0,-0.33555632506079547,"Node(id=5_8233_3, type=transcoder, layer=2, feature=8233, pos=3)",1
0,3,10273,lorsa,2,4,896,transcoder,1.1287623643875122,0.9998652935028076,-0.1288970708847046,0.0,-0.11419327482153126,"Node(id=5_896_4, type=transcoder, layer=2, feature=896, pos=4)",1
0,3,10273,lorsa,2,27,12270,transcoder,0.32696858048439026,0.27052274346351624,-0.05644583702087402,0.0,-0.1726338259696142,"Node(id=5_12270_27, type=transcoder, layer=2, feature=12270, pos=27)",1
0,3,10273,lorsa,2,43,16294,transcoder,0.3670580983161926,0.287579745054245,-0.07947835326194763,0.0,-0.2165279927797236,"Node(id=5_16294_43, type=transcoder, layer=2, feature=16294, pos=43)",1
0,3,10273,lorsa,3,36,1851,lorsa,1.11051607131958,0.9048343300819397,-0.20568174123764038,0.0,-0.18521275517718291,"Node(id=6_1851_36, type=lorsa, layer=3, feature=1851, pos=36)",1
0,3,10273,lorsa,3,60,2305,lorsa,2.7129898071289062,2.441365957260132,-0.2716238498687744,0.0,-0.10011974580775429,"Node(id=6_2305_60, type=lorsa, layer=3, feature=2305, pos=60)",1
0,3,10273,lorsa,3,3,5514,transcoder,0.8981991410255432,0.7285842299461365,-0.16961491107940674,0.0,-0.1888388702818668,"Node(id=7_5514_3, type=transcoder, layer=3, feature=5514, pos=3)",1
0,3,10273,lorsa,3,3,10197,transcoder,0.4134138822555542,0.30638617277145386,-0.10702770948410034,0.0,-0.2588875557351036,"Node(id=7_10197_3, type=transcoder, layer=3, feature=10197, pos=3)",1
0,3,10273,lorsa,3,59,2465,transcoder,0.22523686289787292,0.1917113959789276,-0.03352546691894531,0.0,-0.14884538209070358,"Node(id=7_2465_59, type=transcoder, layer=3, feature=2465, pos=59)",1
0,3,10273,lorsa,4,27,2609,lorsa,1.063217282295227,0.941816508769989,-0.12140077352523804,0.0,-0.11418246819988041,"Node(id=8_2609_27, type=lorsa, layer=4, feature=2609, pos=27)",1
