source_layer,source_pos,source_feature,source_type,target_layer,target_pos,target_feature,target_type,original_activation,modified_activation,activation_change,steering_scale,reduction_ratio,target_node_str,steering_nodes_count
0,3,10273,lorsa,0,3,13486,transcoder,2.0739755630493164,0.821141242980957,-1.2528343200683594,0.0,-0.6040738099278022,"Node(id=1_13486_3, type=transcoder, layer=0, feature=13486, pos=3)",1
0,3,10273,lorsa,1,3,853,transcoder,1.2332260608673096,0.5415614247322083,-0.6916646361351013,0.0,-0.5608579465541491,"Node(id=3_853_3, type=transcoder, layer=1, feature=853, pos=3)",1
0,3,10273,lorsa,2,3,1,transcoder,0.9149532318115234,0.5819225907325745,-0.333030641078949,0.0,-0.36398651810823035,"Node(id=5_1_3, type=transcoder, layer=2, feature=1, pos=3)",1
0,3,10273,lorsa,2,43,16294,transcoder,0.3670580983161926,0.287579745054245,-0.07947835326194763,0.0,-0.2165279927797236,"Node(id=5_16294_43, type=transcoder, layer=2, feature=16294, pos=43)",1
0,3,10273,lorsa,13,57,4451,transcoder,0.19393160939216614,0.1384410411119461,-0.05549056828022003,0.0,-0.28613472787722644,"Node(id=27_4451_57, type=transcoder, layer=13, feature=4451, pos=57)",1
0,3,10273,lorsa,14,36,8968,lorsa,0.9133227467536926,0.7046177387237549,-0.20870500802993774,0.0,-0.22851178159282381,"Node(id=28_8968_36, type=lorsa, layer=14, feature=8968, pos=36)",1
0,9,7465,lorsa,0,9,12663,transcoder,1.3602796792984009,0.42390087246894836,-0.9363788068294525,0.0,-0.6883722671740666,"Node(id=1_12663_9, type=transcoder, layer=0, feature=12663, pos=9)",1
0,9,7465,lorsa,1,9,10107,transcoder,0.8327892422676086,0.4054836630821228,-0.42730557918548584,0.0,-0.513101703886054,"Node(id=3_10107_9, type=transcoder, layer=1, feature=10107, pos=9)",1
0,14,8352,lorsa,0,14,8178,transcoder,0.499489426612854,0.09023014456033707,-0.40925928205251694,0.0,-0.8193552460715591,"Node(id=1_8178_14, type=transcoder, layer=0, feature=8178, pos=14)",1
0,14,8352,lorsa,1,14,8308,lorsa,1.677754521369934,0.0,-1.677754521369934,0.0,-1.0,"Node(id=2_8308_14, type=lorsa, layer=1, feature=8308, pos=14)",1
0,14,8352,lorsa,2,14,7624,lorsa,4.371225357055664,3.475221633911133,-0.8960037231445312,0.0,-0.20497770074889354,"Node(id=4_7624_14, type=lorsa, layer=2, feature=7624, pos=14)",1
0,18,13967,lorsa,0,18,3216,transcoder,1.4331992864608765,0.6992015838623047,-0.7339977025985718,0.0,-0.5121393162364015,"Node(id=1_3216_18, type=transcoder, layer=0, feature=3216, pos=18)",1
0,18,13967,lorsa,1,18,14853,transcoder,0.5421252250671387,0.281039834022522,-0.2610853910446167,0.0,-0.481596094356766,"Node(id=3_14853_18, type=transcoder, layer=1, feature=14853, pos=18)",1
